Scheme Name,Ministries/Departments,Target Beneficiaries,Eligibility Criteria,Description & Benefits,Application Process,Tags
Incentive Scheme for MSMEs in Powerloom Sector: Subsidy for Water Conservation/ Environment Compliance,micro small  medium enterprises and textiles department,business entity government organisation joint liability groups jlgs ngo industries ed societies self help groups shgs trust, the scheme shall be generally applicable to all micro small and medium enterprises msmes in the powerloom sector.  enterprises must have started production from 01.01.2022 to 31.12.2024.  enterprises should have executed a fourparty agreement with the directorate of textiles financial institution and tantuja.  the units should be a private sector cooperative sector and joint sector undertaking as also companies undertakings owned and managed by the state government and the industrial shgs.  the project should be covered by a detailed feasibility reportproject prepared for the purpose.  the project should have been approved and sanctioned by a central financial institution or commercial banks or state financial institutions.,subsidy for water conservation environment compliance incentive under the incentive scheme for msmes in powerloom sector scheme by the dept. of msme  t government of west bengal aims to provide reimbursement for expenditure incurred towards cost of captive sound pollution control devices.  50 subsidy subject to a maximum of 200000., after commencement of production an eligible micro small or medium enterprise in powerloom segment claiming the subsidy will submit application as per prescribed format in forma2 with all the relevant documents to the directorate of textiles.  time frame for submission of first application within 12 months from the date of commencement of commercial production 01.01.2022 to 31.12.2024.  address directorate of textiles handlooms spinning mills silk weaving  handloom based handicrafts division new secretariat buildings 1 k. s. roy road 5th floor b block kolkata 700001. tel no. 4537  2248 6271 ext. 215 fax no. 4537,"Entrepreneurship, Environment Compliance, Powerloom, Reimbursement, Subsidy, Waiver, Water Conservation"
Incentive Scheme for MSMEs in Powerloom Sector: Work Force Welfare Assistance,micro small  medium enterprises and textiles department,business entity government organisation industries joint liability groups jlgs ngo ed societies self help groups shgs trust, the scheme shall be generally applicable to all micro small and medium enterprises msmes in the powerloom sector.  enterprises must have started production from 01.01.2022 to 31.12.2024.  enterprises should have executed a fourparty agreement with the directorate of textiles financial institution and tantuja.  the units should be a private sector cooperative sector and joint sector undertaking as also companies undertakings owned and managed by the state government and the industrial shgs.  the project should be covered by a detailed feasibility report project prepared for the purpose.  the project should have been approved and sanctioned by a central financial institution or commercial banks or state financial institutions.,work force welfare assistance incentive under the incentive scheme for msmes in powerloom sector scheme implemented by the dept. of msme  t government of west bengal aims to provide reimbursement of expenditure incurred for paying contribution towards esi and epf.  100 reimbursement in first year and 75 in the remaining years.  zone b 5 years. zone c 7 years. zone d  e 9 years., after commencement of production an eligible enterprise claiming the subsidy will submit an application as per prescribed format in forma2 to the directorate of textiles.  time frame for submission of first application within 12 months from the date of commencement of commercial production 01.01.2022 to 31.12.2024.  address directorate of textiles handlooms spinning mills silk weaving  handloom based handicrafts division new secretariat buildings 1 k. s. roy road 5th floor b block kolkata 700001. tel no. 4537  2248 6271 ext. 215 fax no. 4537,"Entrepreneurship, EPF, ESI, Powerloom, Reimbursement, Subsidy, Waiver, Work Force Welfare"
Incentive Scheme for MSMEs in Powerloom Sector: Interest Subsidy on Term Loan,micro small  medium enterprises and textiles department,business entity government organisation joint liability groups jlgs ngo ed societies self help groups shgs trust, the scheme shall be generally applicable to all micro small and medium enterprises msmes in the powerloom sector.  enterprises must have started production from 01.01.2022 to 31.12.2024.  enterprises should have executed a fourparty agreement with the directorate of textiles financial institution and tantuja.  the units should be a private sector cooperative sector and joint sector undertaking as also companiesundertakings owned and managed by the state government and the industrial shgs.  the project should be covered by a detailed feasibility reportproject prepared for the purpose.  the project should have been approved and sanctioned by a central financial institution or commercial banks or state financial institutions.,interest subsidy on term loan incentives under the incentive scheme for msmes in powerloom sector scheme implemented by the dept. of msme  t government of west bengal aims to provide subsidy on annual interest liability on the term loan borrowed from a bank to an approved project.  micro  small enterprise  zone a  b 55 of interest liability for 5 years.  zone c d  e 70 of interest liability for 5 years  medium enterprise  zone b c d  e 25 of total term loan interest paid by the enterprise for 5 years subject to a ceiling of 17500000 per year.   the interest subsidy will be payable annually subject to submission of a statement  certificate in annexureii by the lending bank financial institution to substantiate that the unit has paid the due interest to the institution on the due dates and has not defaulted in payment of interest at any time during the period., after commencement of production an eligible micro small or medium enterprise in powerloom segment claiming the subsidy will submit an application as per prescribed format in forma2 with all the relevant documents to the directorate of textiles.  time frame for submission of first application within 12 months from the date of commencement of commercial production 01.01.2022 to 31.12.2024.  address directorate of textiles handlooms spinning mills silk weaving  handloom based handicrafts division new secretariat buildings 1 k. s. roy road 5th floor b block kolkata 700001. tel no. 4537  2248 6271 ext. 215 fax no. 4537,"Entrepreneurship, Incentives, Interest Subsidy, Powerloom, Reimbursement, Subsidy, Term Loan"
 Incentive Scheme for MSMEs in Powerloom Sector: State Capital Investment Subsidy,micro small  medium enterprises and textiles department,business entity industries joint liability groups jlgs ngo ed societies trust self help groups shgs, the scheme shall be generally applicable to all micro small and medium enterprises msmes in the powerloom sector.  enterprises must have started production from 01.01.2022 to 31.12.2024.  enterprises should have executed a fourparty agreement with the directorate of textiles financial institution and tantuja.  the units should be a private sector cooperative sector and joint sector undertaking as also companiesundertakings  owned and managed by the state government and the industrial shgs.  the project should be covered by a detailed feasibility reportproject prepared for the purpose.  the project should have been approved and sanctioned by a central financial institution or commercial banks or state financial institutions.,state capital investment subsidy incentives under incentive scheme for msmes in powerloom sector scheme implemented by the dept. of msme  t government of west bengal aims to provide subsidy of the fixed capital investment made for its approved project.  20 of fixed capital investment on plant and machinery., a micro small or medium enterprise in powerloom segment shall duly apply in prescribed form to the directorate of textile in forma1 before any investment in plant and machinery new age shuttle less loom.  time frame for submission of first application within 12 months from the date of commencement of commercial production 01.01.2022 to 31.12.2024.  address directorate of textiles handlooms spinning mills silk weaving  handloom based handicrafts division new secretariat buildings 1 k. s. roy road 5th floor b block kolkata 700001 tel no. 4537  2248 6271 ext. 215 fax no. 4537,"Entrepreneurship, Incentives, Powerloom, Reimbursement, State Capital Investment Subsidy, Subsidy"
Scheme of Financial Assistance for Dance and Drama Troupes/Associations,arts and culture department puducherry,artists,1. the dance and drama troupes should be presenting new classical or folk dance programs or for staging new dramas enacted by any cultural body ed in the territory. 1. the troupeassociation or body should have a standing at least 2 years. 1. the theme of the dance or the story and dialogue of the drama must be new and original created by an artist who is a native of the territory by birth or domicile.,the scheme of financial assistance for dance and drama troupesassociations was launched by the arts and culture department puducherry. the scheme aims to provide a grant for dance and drama troupesassociations.  grant of 2000 given to the dance and drama troupesassociations., the interested applicant should visit during office hours the department of art and culture and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filledin applications. or the interested applicant downloads the application form.  in the application form fill in all the mandatory fields paste the passportsized photograph signed across if required and attach copies of all the mandatory documents selfattest if required.  submit the duly filled and signed application form along with the documents to the superintendent department of art and culture1 romain rolland street puducherry.  request a receipt or acknowledgment from the superintendent to whom the application has been submitted. ensure that the receipt contains essential details such as the date and time of submission and a unique identification number if applicable.,"Artists, Associations, Financial Assistance, Grant, Troupes"
Mukhyamantri Samajik Samrasta Antarjatiya Vivah Shagun Yojana,welfare of scheduled caste  backward classes department,individual,1. both spouses should be citizens of india and one spouse must belong to the scheduled caste community i.e. a nonscheduled caste boy or girl marries with a scheduled caste girlboy. 1. the beneficiary he or she should be a permanent resident of haryana state. 1. the beneficiary he or she should not have received benefits under a similar scheme. 1. the beneficiary can apply for the incentive within 3 years from the date of marriage. 1. the bride should be at least 18 years old. 1. the groom should be at least 21 years old. 1. the benefit of the scheme is only applicable for the first marriage.,the scheme is implemented by welfare of scheduled castes  backward classes dept. govt. of haryana to promote communal harmony by encouraging intercaste marriages. the scheme provides financial assistance of 2.5 lakhs to couple when a nonscheduled caste boy or girl marries with a sc girlboy. 1. under this scheme financial assistance of 250000 is given to the couple when a nonscheduled caste boy or girl marries a scheduled caste girlboy.  out of the total 250000 125000 will be directly transferred to the joint account of the couple immediately after the marriage. the remaining 125000 will be deposited in the couples joint fixed deposit account for a lockin period of 3 years without the facility for its premature encashment., registration process on antyodayasaral portal  to avail of the benefits of the scheme the applicant needs to visit the official portal antyodayasaral portal   if the applicant is not ed on the portal heshe gets ed there.  for registration click new user under sign in here and fill in all the mandatory details i.e. name email id mobile number password  state. click on submit.  verify your mobile number and email id through the received otp and complete the registration process.   to apply for the scheme  to avail the benefits of the scheme visit the official antyodayasaral portal and log in through the email id used while ing.  enter password   and click on .  after successful  click on apply for services and then view all available services  now you can search for the scheme and click on the scheme to go ahead and fill out the application form.  enter your parivar pehchan patra number family id and click on  to fetch family data which displays the family members ed under the given family id.  select the beneficiaryapplicant name and enter the otp that is being sent to the selected family member for verification. click on click to verify  fill in all the mandatory details and upload all the mandatory documents.  preview the application form and click on submit.  tracking of application applicants can track hisher application through the official antyodayasaral portal by entering their department name scheme name and application reference id.,"Financial Assistance, Inter-caste Marriage, Scheduled Caste, Shagun, Vivah"
Old Age Home (Sahara),social welfare department,individual, applicants should come under the below poverty line  bpl category or  annual income should be below rs. 60000,this scheme is to bring qualitative improvement in the living standards of old people of the state. establishment and expansion of rehabilitation programs services and capacity building for strengthening the delivery of rehabilitation programs and services. 1. construction and operation of old age home sahara 1. these old age homes also include housing clothes food medical facilities etc. 1. facilities will be available for qualitative improvement in the standard of living cooperation and proper care of destitute and poor old people of the state.,1. applicants can apply through the application in plain paper to the district social security cell. 1. the committee constituted under the chairmanship of the district magistrate will approve the proposal.,"Shelter Homes, Social Welfare, Vrihad Sahayata"
??shan Uday??Special Scholarship Scheme For North Eastern Region,ministry of education,individual,1. the applicant must be a domicile of ner. 1. the parental annual income of the applicant should not exceed 450000 per annum from all sources. 1. the applicant should have passed class 12th or equivalent in the preceding year of study for applications called for the present year. 1. the applicant should have secured admission in the first year of any degree course either a general degree course of 1. the scholarship shall only be provided for general degree courses and technical and professional courses including medical and paramedical courses as certified by the registrar principal director of university college institute in any of the following universitiescolleges institute a universitiesinstitutionscolleges included under section 2f and 12 b of ugc act. b deemed to be universities included under section 3 of the ugc act 1956 and eligible to receive grantsinaid from ugc. c universitiesinstitutionscolleges funded by central  state government. d institutes of national importance. e institutions recognized by other statutory councils within as well as outside. f the admission should have been made to university institution college with the aishe code. renewals  1. scholarship granted under the scheme will be kept renewed during the period of first degree course subject to good conduct and maintenance of prescribed attendance. 1. the scholarship will be renewed for the next year of study on receipt of a annual progress report to be granted by the administrative head of the university institutioncollege.e.g. registrar of a university director of the institution principal of the college or any other officer designated by them. 1. students failing to get promoted to the next class level would forfeit the scholarship. 1. change in course of study will not be permitted. if the awardee changes the course of study the scholarship will stand forfeited from the date of such a change. 1. the scheme will be implemented and monitored by the ugc. 1. the awardees of previous years will continue to follow the ugc pattern of assistance through the designated bank branches of canara bank.  for students of integrated degree courses the scholarship will be tenable for the complete duration of the course. 2 for dual degree courses the scholarship will only be tenable for the tenure of the first degree. 3 transgender candidates are eligible to apply under the scheme. the reservation shall be followed as per government of india norms. 4 distribution of slots amongst the states of ner will be done on the basis of population censuslast. 5 if slots in a particular state remain vacant due to the nonavailability of eligible candidates the unfilled slots will be distributed equitably amongst other states. 6 reservation for persons with disability pwd will be made as per government of india norms.,a scholarship scheme by the ministry of education and the university grants commission. taking special interest with regard to the promotion of higher education in the ner i.e. for improving the ger promoting higher education and encouraging children belonging to the economically weaker sections. 1 ugc will award 10000 ten thousand fresh scholarships per year. 2 5400 per month for general degree courses and 7800 per month for technicalmedicalprofessionalparamedical courses. 3 the scholar would be awarded from the date of joining the course as certified by the universityinstitution college. 4 scholarship as certified by the institutions identified under this scheme will be paid to the selected students by the ugc through dbt direct benefit transfer mode and will be transferred to the bank account of the beneficiaries. this procedure will be completed through the pfms., new registration  visit the registration page of the national scholarships portal.  guidelines for registration will appear. scroll to the bottom. read carefully the undertaking. accept the terms. click continue.  a registration form will appear. the fields marked as  are compulsory. fill in the details and click . your application id and password will be displayed. the same will also be sent as an sms to your ed mobile number.  fresh application  visit the applicant  page of the national scholarships portal enter your application id and password.  type the  and click .  on the next screen provide the otp received on your ed mobile number. you will be directed to the password reset screen. create a new password and confirm.  click submit. you will be directed to the applicants dashboard.  on the left pane click application form. the fields marked as  are compulsory. fill in the details and upload the documents. the verification of credentials of the students caste educational qualifications etc. will be done through the digilocker facility of the meity govt. of india.  you can either click on save as draft to complete the application later. else click final submit to apply. br  track payment status the student can track their payment status from the template know your payment in the public financial management system pfms portal either by indicating their aadhaar number bank account number or nsp application id.    applications will be invited once in a year on the national escholarship portal of the government of india. short notification will also be uploaded on the ugc website.  at the time of applying the course will be classified as a general degree or professional by the concerned university institutioncollege.  incomplete applications will be summarily rejected. only verified online applications will be considered for the award of scholarship.,"Financial Assistance, Scholarship"
"Scheme for Providing Employment Opportunities by Establishing Piggery, Sheep and Goat Units (General) under Mukhya Mantri Antyodaya Parivaar Utthan Yojana",animal husbandry  dairying department,individual,1. the applicant should be 18 to 60 years of age and a resident of haryana. 1. the applicant must be unemployed. 1. there would be no mandatory educational qualifications or training requirements. 1. the applicant should have a spaceshed for keeping animals. 1. the applicant would have to submit a selfdeclaration for being unemployed and for undertaking to abide by other conditions as required under the scheme.,under this scheme an unemployed resident of haryana who is between 18 and 60 years of age can avail a 25 subsidy on the cost of livestock provided they have taken a loan for establishing a 101 piggery unit or a 151 sheepgoat unit.  financial assistance under the scheme establishment of 101 piggery units  25 subsidy on the cost of livestock which has been availed as a loan by the beneficiary for establishment of a 101 piggery unit. a maximum amount of 25000 will be provided as financial assistance in form of a subsidy. establishment of 151 sheepgoat units  25 subsidy on the cost of livestock which has been availed as a loan by the beneficiary for establishment of 151 sheepgoat unit. a maximum amount of 24500 will be provided as financial assistance in form of a subsidy.  financial assistance for insurance under the scheme  insurance assistance will be provided as per the available departmental scheme if operational during the year otherwise the beneficiaries will have to arrange for insurance of animals and shall pay the insurance premium., to avail the benefits of the scheme applicants should visit the deputy directors office in their district and collect the application form.  fill out the application form and attach all the relevant documents.  submit the completely filled application form and attached documents to the concerned official in the office.  the deputy director of the concerned district will examine the applications on a firstcome firstserved basis and process them accordingly.,"Animal Husbandry, Antodayay, Financial Assistance, Goat Unit, Piggery Unit, Sheep Unit, Subsidy, Subsidy, Unemployed"
Scheme for Conservation and Development of Indigenous Cattle and Murrah Development,animal husbandry  dairying department,individual,1. the applicant must be a resident of haryana. 1. the applicant must be of the age of 18  55 years. 1. a cow or buffalo eligible to be recorded must be between 05 to 75 days of the date of its calving as on date of application. 1. a maximum of two milch animals two cows or two buffaloes or one cow and one buffalo per applicantbeneficiary would be eligible for the incentive money under this scheme. 1. the cows must be true to hariana sahiwal or belahi breed and buffalo must be of murrah breed only. 1. incentive for a particular animal could be provided only twice in its life span i.e. if the incentive is provided to a beneficiary for a particular animal twice such beneficiary would stand debarred for receiving an incentive for that animal in its subsequent calving in the future. 1. the scheme is individual beneficiaryoriented.  a maximum of two milch animals per applicant will be eligible for the incentive money under this scheme. however the recordings of more than two buffaloescows of an applicant may be carried out for collecting data of the top quality murrah buffaloesindigenous cattle hariana sahiwal and belahi. but incentive money would be provided only for two animals in the highest slabs of that applicant in a particular year.  in case an applicant lives at a place other than where the animals are kept or intended to be kept than the jurisdiction area will be the place where animals are kept within state of haryana only.,the scheme is implemented by the department of animal husbandry  dairying government of haryana with the objective of encouraging the farmers for conservation and development of the indigenous breeds of cows and buffaloes. 1. cash incentives at the following rates in different slabs would be provided to the owners of the recorded murrah buffaloes as below sl. no.slabs of lactation yield in kg peak yield in kgincentive money 118 to 22 kg15000222 to 25 kg200003above 25 kg300002. cash incentives at the following rates in different slabs would be provided to the owners of the recorded cows of different indigenous breeds as below hariana cows sl. no.slabs of peak yield in kgincentive money 18 to 10 kg10000210 to 12 kg150003above 12 kg200003. sahiwal cows sl. no.slabs of peak yield in kgincentive money 110 to 12 kg10000212 to 15 kg150003above 15 kg200004. belahi cows sl. no.slabs of peak yield in kgincentive money 15 to 8 kg500028 to 10 kg100003above 10 kg15000in lieu of the cash incentive provided the owner would be under obligation not to sell the recorded indigenous cowmurrah buffalo and its male progeny at least for one year. the beneficiary would be further bound to look after the male calf properly and the department will have the first right to purchase it. in case the beneficiary does not abide by the contract i.e. disposes of the identified indigenous cowmurrah buffalo andor its male calf he would not be eligible for the cash incentive. the owners of the recorded cowsbuffaloes would be required to breed their animals through artificial insemination by the government., registration process on antyodayasaral portal  any eligible owner having true to breed murrah buffaloindigenous cattle hariana sahiwal and belahi and desirous of participating under the scheme would have to apply online on the official portal antyodayasaral portal.   if the applicant is not ed on the portal heshe gets ed there.  for registration click new user under sign in here and fill in all the mandatory details i.e. name email id mobile number password  state. click on submit.  verify your mobile number and email id through the received otp and complete the registration process.   to apply for the scheme  to avail the benefits of the scheme visit the official antyodayasaral portal and log in through the email id used while ing.  enter password   and click on .  after successful  click on apply for services and then view all available services  now you can search for the scheme and click on the scheme to go ahead and fill out the application form.  enter your parivar pehchan patra number  family id and click on  to fetch family data which displays the family members ed under the given family id.  select the beneficiaryapplicant name and enter the otp that is being sent to the selected family member for verification. click on click to verify  fill in all the mandatory details and upload all the mandatory documents.  preview the application form and click on submit.  tracking of application applicants can track hisher application through the official antyodayasaral portal by entering their department name scheme name and application reference id.  post application procedures  once the applicant has applied online on the saral portal the application would stand submitted to the subdivisional officer animal husbandry of the concerned subdivision who would examine the application and if found not in order the same would be rejected. however if application is found in order then the sub divisional officer animal husbandry would accept the application online and the printouts of the same would be taken along with enclosures.  within three working days of acceptance of the online application of the applicant the sub divisional officer animal husbandry would intimate and ask the concerned veterinary surgeon ic government veterinary hospital for verification of the breed of buffalo hurrahindigenous cattle hariana sahiwal and belahi of the applicant in the format annexed at annexurei.  after receipt of which the veterinary surgeon would report to sub divisional officer animal husbandry within three working days in the format annexed as annexureii.  after receipt of the breed verification report from the veterinary surgeon the sub divisional officer animal husbandry will inform the deputy director of the concerned district and request for fixing dates of milking through saral portal only. the date of milking for applications received from 115 of any month may be provided in 1630 of the same month and for applications received from 1630 of any month may be provided in 115 of the next month or as per local circumstances by keeping in view the rts time limit.  thereafter deputy director of the concerned district would write to the committee and the applicants for recording milk intimating date and venue of milk recording in the format annexed as annexureiii.  the scheme is under the right to service act with a time limit of 30 days.,"Animal Husbandry, Buffaloes, Cash Incentive, Cows, Dairying, Indigenous Cattle, Murrah"
Scheme for Establishment of Hi-Tech and Mini Dairy Units under Mukhya Mantri Antyodaya Parivaar Utthan Yojana,animal husbandry  dairying department,individual,1. the applicant should be of 18 to 60 years of age and a resident of haryana. 1. the applicant must be unemployed. 1. there would be no mandatory educational qualifications or training requirements. 1. the applicant can apply for a dairy unit of 2 milch animals only. 1. the applicant should have spaceshed for keeping milch animals. 1. the applicant would have to submit a selfdeclaration for being unemployed and for undertaking to abide by other conditions as required under the scheme.,under this scheme a resident of haryana who is between 18 and 60 years of age can avail a 25 subsidy on the cost of two milch animals. the subsidy can be availed as a loan for the purchase of these milch animals by the beneficiary for the establishment of dairy units with two milch animals.  financial assistance under the scheme dairy units of 2 milch animals  25  subsidy on the cost of milch animals which has been availed as a loan for the purchase of these milch animals by the beneficiary for the establishment of dairy units of 2 milch animals  financial assistance for insurance under the scheme  insurance assistance will be provided as per the available departmental scheme if operational during the year otherwise the beneficiaries will have to arrange for insurance of animals and shall pay the insurance premium., to avail the benefits of the scheme applicants should visit the deputy directors office in their district and collect the application form.  fill out the application form and attach all the relevant documents.  submit the completely filled application form and attached documents to the concerned official in the office.  the deputy director of the concerned district will examine the applications on a firstcome firstserved basis and process them accordingly.,"Animal Husbandry, Financial Assistance, Hi-Tech, Milch Animal, Mini Dairy Unit, Subsidy"
Bihar State Journalist Insurance Scheme,information and public relations department department,journalist,1. the applicant should be a journalistmedia representative. 1. independent journalists must hold a valid press accreditation card. 1. the applicant should have a minimum of 5 years of work experience in journalism. 1. the media representatives age is between 2170 years. 1. the media representative should be residing and working in bihar. 1. the media representative educational qualification should be matriculation or equivalent for the insurance. 1. the media representative should cover 50 of news or comments in journalists from newspapers magazines news agencies electronic media and independent journalists with valid press accreditation. 1. the media representatives spouse and two dependent children are included in this insurance scheme. 1. the media representatives sons age is up to 23 years or 25 if studying any bonafide institutions and the daughter will be covered until marriage. 1. a media representative affiliated with a private news channel must ensure that the channels telecast reaches at least 20 districts in the state.,the bihar state journalist insurance scheme 2014 is launched by the information  public relations department government of bihar. it aims to provide financial benefits  facilities under a group mediclaim  personal accident insurance scheme to working media representatives in the state of bihar  personal accident insurance coverage up to 500000  medical expense coverage up to 500000 for the insured and their dependents.  media representatives contribute 20 of the premium while the remaining 80 is covered by the government., application process  the interested applicant can download the application form from the .  in the application form fill in all the mandatory fields and attach copies of all the mandatory documents selfattest if required.  submit the duly filled and signed application form along with the documents to the district public relation officer.  request a receipt or acknowledgment from the district public relation officer to whom the application has been submitted. ensure that the receipt contains essential details such as the date and time of submission and a unique identification number if applicable. br  claim process  claims for accidents or treatment must be reported to the insurance company and iprd within seven days.  submit required documents including medical reports and accident details.,"Accident, Journalist, Media, Mediclaim"
"Awarding of Tamil Mamani, Telugu Ratna and Malayala Ratna",arts and culture department puducherry,individual,1. the applicant should be an authorwriter. 1. the applicants age should be 60 years or above. 1. the authorwriter should have published books of high repute in poetry prose and research articles in literature and grammar in their respective languages. 1. the applicant should participate in literary and research. 1. the applicant should not have been given any such award by other government and organisations like universities etc. 1. the applicant should be a native of puducherry or residence in puducherry continuously for a period of 5 years.,the arts and culture department of puducherry launched the awarding of tamil mamani telugu ratna and malayala ratna scheme with the aims to provide a cash award to the authorwriter who have published books.  award amount  cash award  75000.  number of awards  tamil mamani  6 awards.  malayala ratna  4 awards.  telugu ratna  4 awards., the interested applicant should visit during office hours the department of art and culture and request the hard copy of the prescribed format of the application form from the staff exclusively entrusted to issue and collect filledin applications. or the interested applicant downloads the application form.  in the application form fill in all the mandatory fields paste the passportsized photograph signed across if required and attach copies of all the mandatory documents selfattest if required.  submit the duly filled and signed application form along with the documents to the superintendent department of art and culture no.1 roman roland road puducherry 605 001.  request a receipt or acknowledgment from the superintendent to whom the application has been submitted. ensure that the receipt contains essential details such as the date and time of submission and a unique identification number if applicable.,"Award, Books, Financial Assistance, Research, Senior Citizen"
Scheme for Establishment of Backyard Poultry Units under Mukhya Mantri Antyodaya Parivaar Utthan Yojana,animal husbandry  dairying department,individual,1. the applicant should be a resident of haryana. 2. the applicant should be unemployed. 3. the applicant should be between 18 to 60 years old. 4. there are no mandatory educational qualifications or training requirements.,under this scheme 50 chicks of 10 days of age from the government hatchery farm along with two feeders and two water drinkers are provided free of cost to each beneficiary family at their doorstep.  50 chicks 10 day old reared at government hatchery along with two feeders and two water drinkers are provided free of cost to each beneficiary family at their doorstep., the eligible applicant may contact the nearest veterinary hospital in hisher village.  the applicant can submit their application form to the deputy directorsubdivisional office of hisher district.,"Backyard Poultry, Chicks, Feeders, Hatchery, MMAPUY, Unemployed, Water Drinkers"
Agricultural Activities for Persons with Disabilities,welfare of scheduled caste  backward classes department,individual,1. the applicant should be a permanent resident of haryana. 1. the applicant should have a disability of at least 40. 1. the applicant should be above 18 years old. for persons with mental retardation the age requirement is relaxed to 14 years instead of the usual 18 years.,this scheme provides loans up to 1000000 to the persons with disabilities for agricultural production irrigation horticulture sericulture the purchase of agricultural machinery and equipment for agricultural services and the marketing of agricultural products etc. 1. under this scheme loans up to 1000000 are provided to persons with disabilities for agricultural production irrigation horticulture sericulture purchasing agricultural machineryequipment for agricultural services marketing agricultural products etc., registration process on antyodayasaral portal  the eligible applicant may apply online through the official portal antyodayasaral portal.  if the applicant is not ed on the portal heshe gets ed there.  for registration click new user under sign in here and fill in all the mandatory details i.e. name email id mobile number password  state. click on submit.  verify your mobile number and email id through the received otp and complete the registration process.   to apply for the scheme  to avail the benefits of the scheme visit the official antyodayasaral portal and log in through the email id used while ing.  enter password   and click on .  after successful  click on apply for services and then view all available services  now you can search for the scheme and click on the scheme to go ahead and fill out the application form.  fill in all the mandatory details and upload all the mandatory documents.  preview the application form and click on submit.  tracking of application applicants can track their applications through the official antyodayasaral portal by entering their department name scheme name and application reference id.,"Agricultural Activities, Disabled Person, Loan, PwD"
Small Industries Unit for Persons with Disabilities,welfare of scheduled caste  backward classes department,individual,1. the applicant should be a permanent resident of haryana. 1. the applicant should have a disability of at least 40. 1. the applicant should be over 18 years old. for persons with mental retardation the age requirement is relaxed to 14 years instead of the usual 18 years.,this scheme provides loan of up to 25 lakhs is provided to persons with disabilities for establishing small industrial units focused on manufacturing fabrication  production. permanent residents of haryana aged 18 or older with a disability of 40 or more is eligible to avail the benefits. 1. under this scheme loan assistance of up to 2500000 is provided to differentlyabled persons for setting up manufacturing fabrication and production units., registration process on antyodayasaral portal  the eligible applicant may apply online through the official portal antyodayasaral portal.   if the applicant is not ed on the portal heshe gets ed there.  for registration click new user under sign in here and fill in all the mandatory details i.e. name email id mobile number password  state. click on submit.  verify your mobile number and email id through the received otp and complete the registration process.   to apply for the scheme  to avail the benefits of the scheme visit the official antyodayasaral portal and log in through the email id used while ing.  enter password   and click on .  after successful  click on apply for services and then view all available services  now you can search for the scheme and click on the scheme to go ahead and fill out the application form.  enter your parivar pehchan patra number  family id and click on  to fetch family data which displays the family members ed under the given family id.  select the beneficiaryapplicant name and enter the otp that is being sent to the selected family member for verification. click on click to verify  fill in all the mandatory details and upload all the mandatory documents.  preview the application form and click on submit.  tracking of application applicants can track their applications through the official antyodayasaral portal by entering their department name scheme name and application reference id.,"Disability, Loan, PwD, Small Unit"
Grant Scheme for Marriage of Daughters of Destitute Widow,department of social welfare,individual, the applicant should be a permanent resident of uttarakhand.  the applicant should be a girlwoman.  the applicant should be a widow.  the applicant should be sanctioned for widow pension from the district probation office.  the monthly income of the applicants family should not exceed 4000. or  the applicant should belong to the bpl below poverty level category.  the bride daughter of the applicant should be between 1845 to years of age and the groom should be between 2145 years of age.,grant scheme for marriage of daughters of destitute widow is a social security scheme by the social welfare department government of uttarakhand that provides financial assistance to the destitute widows for the marriage of their daughters.  50000 to the beneficiaries., visit  then click on online application in the menu bar.  click on submit new online application in the menu item for online application.  the registration form will be displayed.  select the scheme in the registration form and fill in the required information.  after saving the application form  the applicant will receive the password of the applicant  by sms at the address given by the applicant.  click on the applicant  under the menu item to apply online using these  ids and passwords.  once you have successfully logged in the information on your ed application form will be updated as needed.  upload the documents required for the scheme as indicated in the required document menu item by clicking upload documents menu item .file type pdf file size 1 mb  after uploading all the required documents the applicant will be able to take a printout of the application form by clicking on the print application form menu item.  after uploading all the required documents the applicant will be able to take a printout of the application form by clicking on the print application form menu item.  track application  visit  then click on online application in the menu bar.  click on check application status in the menu item for online application.  enter your enter application number mobile number aadhaar number  then click on the search button to see the application status.    the applicants name in the application form must be the same as the applicant  s name in the aadhaar card and the name in the passbook.  the applicants information such as scheme district area tehsil block panchayat village city ward cannot be updated by the applicant.  do not mention the applicant joint  loan bank account in the application form.  once your application is under process or processed you cannot update.  helpdesk toll free number whats app mobile number 63952288 landline number 03526742 035267422 email id br,"Destitute Widow, Financial Assistance, Girls, Marriage Grant, Scheduled Caste, Scheduled Tribe"
