Scheme Name,Ministries/Departments,Target Beneficiaries,Eligibility Criteria,Description & Benefits,Application Process,Tags
National Post Doctoral Fellowship,"{'value': 1579, 'label': 'Ministry Of Science And Technology'}",Individual,"
   1. The applicant should be an Indian citizen.
   1. The applicant must have obtained PhD/M.D/M.S degree from a recognized University. Those who have submitted their PhD/M.D/M.S. thesis and are awaiting the award of the degree are also eligible to apply. However, such candidates, if selected, will be offered a lower fellowship amount till they qualify for the eligible degree.
   1. The upper age limit for the fellowship is 35 years at the time of the submission of the application, age will be calculated by taking the date of closure of the respective call. Age relaxation of 5 (five) years will be given to candidates belonging to SC/ST/OBC/Physically Challenged &amp;amp; Women candidates.
   1. NPDF can be availed only once by a candidate in his/her career.
   1. The mentor must hold a regular academic/research position in a recognized institution in India. Should hold a Ph.D. degree in Science or Engineering.
   1. A mentor shall not have more than two SERB NPDF fellows at any given time.

**Note 01:** The fellowship is tenable only in India and can be implemented in any of the recognized academic institutions, national laboratories, and other recognized R&amp;amp;D institutions. The host institution should provide the necessary administrative and infrastructural support.
**Note 02:** The fellows will not be allowed to work with the Ph.D. guide/co-guide. It is also normally not availed at the same Department/institution where the candidates have earned their PhD/M.S./M.D degree.
","The “National Post Doctoral Fellowship (N-PDF)” was launched by the Science and Engineering Research Board, Government of India to identify motivated young researchers and provide them support for doing research in frontier areas of science and engineering.
**The fellows will be entitled to receive the grants as given below:**
**Sl. No.****Budget Head****Amount**1Fellowship₹55,000/- per month (consolidated) and ₹35,000/- per month for candidates who have submitted the thesis but degree not awarded2Research Grant₹2,00,000/- per annum3Overheads₹1,00,000/- per annum**Note 01:** Research grants can be used for minor equipment, consumables, contingencies, and domestic travel. There is no provision for providing research personnel support under this scheme. The Fellow is expected to undertake the research objectives by himself/herself during the entire duration of the fellowship.
**Note 02:** The fellows are not eligible to receive any other fellowship from any Government or Non-Governmental source during the tenure of the fellowship.
**Note 03:** The fellows must seek the consent of SERB if he/she intends to be away from the implementing institute (except for field work related to the project) continuously for a period of more than eight weeks.
&gt; **Leave:**

SERB PDFs are entitled to leave as per the rules of the host institution. Participation in scientific workshops held in India or abroad will be treated as on duty. Maternity leave as per the Govt. of India instructions issued from time to time would be available to female candidates in all categories.
","> **Application Process:**

**Step 01:** The call for applications for SERB-N PDF will be notified through the website [www.serbonline.in](https://www.serbonline.in/SERB/npdf?HomePage=New) and [https://serb.gov.in/](https://serb.gov.in/page/awards_fellowship#National%20Post%20Doctoral%20Fellowship)
**Step 02**: The application form along with a research proposal highlighting the objectives of the research work to be undertaken should be submitted online through the website [www.serbonline.in](https://www.serbonline.in/SERB/npdf?HomePage=New)
**Step 03:** Applicants should first register on the online website, [click here to register](https://serbonline.in/SERB/Registration)
**Step 04:** After login, applicants are required to fill all the mandatory fields in the Profile Detail section under User Profile. which includes Bio-data, Photos, Institute Address, etc.
**Step 05:** Please ensure that your proposed Mentor is registered into the system by following the same procedure. After login, the Mentor is required to fill all the mandatory fields in the Profile Detail section under User Profile. which includes Bio-data, Photo, Institute Address, etc.
**Step 06**: Details including Project Title (max 500 characters), Project summary (max 3000 characters), Keywords (max 6), Objectives of the project (max 1500 characters), Expected output and outcome of the proposal (max 1500 characters) should be provided online at the time of submission of the application.
**Step 07**: Work Methodology and Research plan has to be uploaded in a single PDF file not more than 3 pages (max 10 MB).
**Note 01:** Please ensure that your proposed Mentor is registered into the system by following the same procedure as PI. After login, the Mentor is required to fill all the mandatory fields in the Profile Detail section under User Profile which includes Bio-data, Photo, Institute Address, etc.
**Note 02:** Applicants of NPDF can submit their proposal only once in a calendar year in any of these schemes.
&gt; **Selection Process:**

The selection will be based on the recommendations of an Expert Committee that will be constituted by the Board. If required, the applicants may be called for personal interviews.
&gt; **Termination of the Fellowship:**


  - If any fellow wishes to terminate the fellowship, he/she shall inform the SERB through the mentor and host institute immediately. The implementing institute should not incur any expenditure from the date of termination of the project or the date of resignation of the PI. The institute will also arrange for the submission of the documents mentioned above.
  - SERB reserves the right to terminate the Fellowship at any stage if it is convinced that appropriate progress is not being made or the grant has not been utilized properly.

[Complete guidelines for Principal Investigator for SERB-online system](https://www.serbonline.in/SERB_Help/pi/Multiscreen_HTML5/desktop/Login.htm)
","Fellow, Fellowship, National, Post Doctoral, Research, Science"
Rajiv Gandhi Kisan Nyay Yojana,Agriculture Development and Farmer Welfare and Bio-Technology Department,Individual,"
1. The applicant must be a resident of Chhattisgarh state.
1. The applicant should be a marginal farmer, small farmer or large farmer.
1. The age of the applicant should be above 18 years.
1. Farmers of all categories of landowners and forest lease holders are eligible to get the benefits of the scheme.

","Rajiv Gandhi Kisan Nyay Yojana is a scheme of the Government of Chhattisgarh for the farmers. This scheme was launched on 21 May 2020, on the death anniversary of Rajiv Gandhi.

- Maximum amount of 10000/- per acre will be paid to the farmers planting paddy and maize through debit in installments.
- The fixed FRP amount for sugarcane crop will be paid through DBT to farmers at the rate of Rs. 93.75 /- quintal i.e. maximum amount of 355 /- per quintal.

","
1. First farmer have to visit the official [website](https://kisan.cg.nic.in/) and download the [application form](https://kisan.cg.nic.in/assets/files/FarmerRegistrationForm_UFP.pdf).1. Fill out the application form with required details.
1. Attach required documents (1. Loan Book,  2. B-1, 3. Bank Passbook, 4. Aadhaar).
1. Submit the application to Rural Agriculture Extension Officer (RAEO) for verification.
1. RAEO forward the application for registration. 
1. Information about acceptance/rejection of application will be given to the farmer through SMS. After registration each farmer will be given a unique ID.

","Agriculture, Farmers, Maize, Paddy"
Market Support Scheme for Smaller Business Units,Information and Publicity Department,Business Entity,"1. All the new and existing units must have their operations in Goa.
2. The applicant must be one of the below:

- Proprietorship Firm
- Private Limited Company incorporated under the Companies Act, 2013 (or equivalent)
- Public Limited Company incorporated under the Companies Act, 2013 (or equivalent)
- Registered Partnership Firm incorporated under the Indian Partnership Act, 1932 (or equivalent)
- Limited Liability Partnership incorporated under the Limited Liability Partnership Act, 2008 (or equivalent)

4. The bank accounts of the unit and/or its partner(s)/director(s) should be linked to Aadhaar.
5. Pre-approval from the Committee is required prior to attending an exhibition in order to claim a reimbursement.
","The objective of the ""Market Support Scheme for Smaller Business Units"" is to provide Market Support to the eligible IT Units in Goa. A reimbursement of 50% of the exhibition rental cost will be provided for participating in national/ international exhibitions, limited to 9 square meter of space.

- A reimbursement of 50% of the exhibition rental cost for will be provided for participating in national/ international exhibitions, limited to 9 square meters of space, subject to approval by the Government.

**NOTE 1:** The benefits under this scheme are subject to budgetary allocation. No Promissory Estoppel shall be applicable if benefits are discontinued in case the allocation is exceeded.
**NOTE 2:** Pre-approval from the Committee is required prior to attending an exhibition in order to claim a reimbursement.
","**Step 1:** Visit the [Official Web Portal](https://goaonline.gov.in/) of Goa Online. At the top right corner, click &quot;[Register](https://goaonline.gov.in/Public/userRegistration_af)&quot;.
**Step 2:** On the next page, verify your Email ID and Mobile Number using OTP. You will be redirected to the Registration Page.
**Step 3:** On the Registration Page, fill in all the mandatory fields of the registration form. Create a Login Name and a strong Password. Carefully read the Declaration and the Terms &amp; Conditions, and tick the checkboxes. Fill in the Captcha Code, and click &quot;Register/Signup&quot;.
**Step 4:** Login to the website using your Login Name and Password. Fill in the Captcha Code, and click &quot;Login&quot;.
**Step 5:** In the top ribbon, click on &quot;Services&quot;, then click on &quot;[IT Services](https://goaonline.gov.in/AllServices?cat=IT)&quot;. Click on the name of the scheme. You will be taken to the application form for the scheme. Fill in all the mandatory fields and upload all the mandatory documents.
**Step 6:** Submit the application. A unique registration number will be generated. Note this number for future reference.
**NOTE 1:** The applicant can apply for this scheme on a quarterly/bi-annually/annual basis after incurring the relevant expenditure. 
**NOTE 2:** Application should be submitted 60 days prior to attending an exhibition. Decision regarding pre-approval will be issued within 30 working days.
<br>

> **Disbursement Timeline**


- Incentive Application Receipt: D
- Application scrutiny as per checklist: D+30days
- Application approval by the Empowered Committee: D+60 days
- Issue of Regret Letter/Sanction Orders and Disbursement: D+90 days

","Business, Company, Exhibition, Market, Reimbursement"
Financial Help On Death Of Family Head,Tribal Area Development Department,"Family, Individual","1. The person must be from Sahariya Tribe (ST)
","Financial help on death of family head scheme was launched by Rajasthan state government under tribal area development on 20/08/2008. Under this scheme, ₹10,000/- to the wife of the deceased on the premature death of the head of the family of Saharia primitive tribe.
",N/A,"DBT, Death Of Family Head, Financial Assistance, Rajasthan, Sahariya Tribe"
Chief Ministergi Artistesinggi Tengbang (CMAT) – Artiste’s Pension,Art and Culture Department,Individual,"
1. The applicant should be a domicile of the State of Manipur.
1. The applicant should be an Artist.
1. The applicant should be 60 years or above in age, as of 1st April of the current financial year.
1. The applicant should not be employed in any public/private undertakings.
1. **For Category (A):** The applicant should be a National / State Awardee, such as Padma Awardee, Sangeet Natak Akademi, Sahitya Akademi, Lalit Kala Akademi or Manipur State Kala Akademi Awardee, Manipur State Film Development Society or National Award Winners in Film.1. **For Category (B):** The applicant should have made a substantial contribution to the preservation and promotion of Arts during his / her young age and should be a well-known artiste recognized by a competent authority of Government including Shree Shree Govindaji Temple Board, Sanamahi Temple Board for Sankirtana and Lai Haraoba or recommended by any reputed registered organizations authorized by the Government, etc in the concerned field.1. The income of the applicant including that of the spouse from all sources should not exceed ₹ 1,50,000/- per annum.
1. Any dependent spouse of the Artiste who enjoyed Pension and Medial benefits under the CMAT shall be eligible for financial assistance / medical assistance.

<br>

> **Reservation/Preference/Priority:**

The artiste who is in indigent circumstances will be given preference.
","The scheme ""Chief Ministergi Artistesinggi Tengbang (CMAT) – Artiste’s Pension"" by the Dept. of Art and Culture, Govt. of Manipur provides a monthly pension of up to ₹ 4,000/- to the aged reputed artists who have contributed to making the tradition, culture, and art forms of Manipur more vibrant.
",N/A,"Artist, Culture, Financial Assistance, Manipur, Pension"
NPC Students Internship Program,"{'value': 1565, 'label': 'Ministry Of Commerce And Industry'}",Individual,"
1. The applicant should be a citizen of India.
1. The applicant should not already have applied for the internship before in the current financial year.
1. The applicant should be a student pursuing graduation and post-graduation studies.

<br>

> **Job Requirements**


1. Strong editing, written and oral communication skills.
1. Strong interpersonal skills.
1. Proactive technical troubleshooting and problem-solving skills.
1. Knowledge and understanding of learning patterns and strong Research and networking for generating quality learning material.
1. Knowledge of current and emerging eLearning tools and applications.
1. Expertise in graphics creation for classroom-based training, online training, and websites.

> **Desired Skills**


1. Proficiency in the Microsoft Office Suite (i.e. Word, Excel, Powerpoint, Outlook), Adobe Photoshop and/or Adobe In Design 
1. Proficient in graphic designing tools such as Adobe Photoshop, Corel Draw, Illustrator, Ink Shape &amp; related software knowledge
1. Proficient in programming, data/ content management, and website development with Java, .NET, JavaScript or HTML/DHTML. 
1. The overall work may also include leveraging leading technologies like SAS, Big Data, Hadoop, Hive, Pig, Python, SQL, Artificial Intelligence, Machine Learning, and Data Annotation Services.

","National Productivity Council (NPC) provides internship training to students pursuing graduation and post-graduation. The interns shall be given exposure to related interventions being activities undertaken by NPC which will provide opportunities to learn and implement new concepts.
> **Certificate**

The interns will be issued an internship completion certificate upon successful completion and submission of the full project report.
<br>

> **Logistics &amp; Support**

NPC shall provide them with working space with an internet facility and other necessities as deemed fit by the concerned reporting authorities.
**NOTE:** The Interns will be required to bring their own laptops.
<br>

> **Boarding &amp; Lodging**

The Interns will be required to make their own arrangements towards transportation.
<br>

> **Remuneration**

The selected interns shall not be entitled to any financial remuneration/stipend during their internship period. 
No payment towards a stipend, transportation etc. shall be paid to the interns by NPC.
","**Step 1:** The eligible and interested students should submit the duly filled and signed application form as per the[ prescribed format,](https://www.npcindia.gov.in/NPC/Uploads/pdf/notices/Notification%20for%20NPC%20Student%20Intership%20Form-dated%2007.04.202043380.pdf) along with the required documents (self-attested) to the college/institution. The Applicant should specifically mention the duration for which she/he wishes to undertake an internship.
**Step 2:** The college/institution should send the applications of interested applicants to - 
**Director (HRM), National Productivity Council, New Delhi - 110003**
","Industry, Internship, Postgraduation, Student"
Grant In Aid To Old Age Home,Social Justice and Special Assistance Department,"NGO, Individual","
1. The applicant should be a registered Non-Governmental Organization (NGO).
1. The applicant should only accommodate old/destitute/disabled victims.
1. In the case of old men, the age should be 60 years and above. In the case of old women, the age should be 55 years and above.
1. The old age person should be a citizen of India.
1. The old age person should be a permanent resident of the state of Maharashtra.

","The ""Grant in Aid to Old Age Home"" is a scheme by the Dept. of Social Justice & Special Assistance, Govt. of Maharashtra. In this scheme, grants are provided to the NGOs for accommodating old men & women, destitute, disabled victims, into Old Age Homes, and providing them with food, & accommodation.
",N/A,"NGO, Old Age, Senior Citizen, Shelter, Social Welfare"
Tagore National Scholarship for Cultural Research,"{'value': 1567, 'label': 'Ministry Of Culture'}",Individual,"
   1. A scholar with good academic credentials at least one publication, either a book or a research paper in reputed journals, and 2 years of research/teaching experience will be eligible to apply for the Tagore National Scholarships.
   1. This scheme also gives opportunities to young artists/performers to apply for the scholarship.
   1. The scholars also need to identify a nodal institution from the list given in [Appendix B](https://www.indiaculture.gov.in/sites/default/files/Schemes/TNFCR%20Guidelines_14-07-2023_17072023.pdf) according to their preferences/expertise to conduct original research preferably by using the sources of the same institution. The research work may also include the identification and cataloging of sources available with the institution or the archiving and creation of new sources that the institution should have. (Guidelines for preparing research proposal are given in [Appendix A](https://www.indiaculture.gov.in/sites/default/files/Schemes/TNFCR%20Guidelines_14-07-2023_17072023.pdf))
&gt; **Areas of Research and Eligible Projects:**


   1. The selected Scholars will normally work on a project that benefits the Nodal Institution in terms of unraveling its resources. The subject of research should be one that can be usefully pursued with the resources and facilities of the Nodal Institution awarding the Scholarship, though he/she will be free to draw on the resources and facilities of other institutions, as well.
   1. If the subject of research extends to more than one institution or the Scholar otherwise needs to draw upon the resources and facilities of other institution(s), the Nodal Institution awarding the Scholarship would recommend the Scholars to such other institution(s). In rare cases, where two institutions appear to be of almost equal importance to the Scholars, the second institution may be deemed to be the ‘Co-institution’ and the two may sign a Tripartite MoU regarding Intellectual Property, Publication, Credit sharing, facilities, etc. but accounting shall be with the Nodal Institution.
   1. Since the Scheme is focused on unraveling the cultural resources of the Nodal Institution, the project must be driven in that direction, that is, to use substantially the resources of the Nodal Institution. The inputs required for the project should have a very strong linkage with the resources available with the Nodal Institution and (in rare cases) the Co-institution.
   1. At the end of it, the project outcome must be beneficial for the Nodal Institution or co-institution, if any, and must add to the existing knowledge of the institution/subject.

","The Scheme has been introduced to invigorate and revitalize the various institutions under the Ministry of Culture and other identified cultural institutions in the country, by encouraging Scholars/academicians to affiliate themselves with these institutions to work on projects of mutual interest.

**Honorarium:**

  - The scholarship honorarium will be ₹50,000/- per month. However, if the scholar is from a University, College, Research Institute, or Government set-up in India, he/she would be entitled to the same pay, including grade pay, etc., which he/she would have drawn had he/she continued in his/her parent organization.

**Note:** Essential or mandatory contribution of the employer to Provident Fund etc. would be paid by the parent organizations had he/she continued in his/her parent organization.  
&gt; **Contingency Grant:**


  - In case of scholars selected as Tagore Scholars under Non-MoC institutions, will also be paid a contingency grant by the Ministry on an ‘actuals basis’ up to a maximum ceiling of ₹10,000 per month and such other allowances/benefits provided in this scheme, and to the extent, as may be specifically decided in each case by the ILSCC/NSC (within the limits applicable in the case of Tagore National Fellows), depending on the nature and the duration of the project subject to the verification of the bills by the Nodal Institutions.

**Note:** For scholars selected under MoC Institutions, the expenditure in this regard will be borne by the concerned MoC Institution from the grant-in-aid received by them from their administrative Division of the Ministry.
&gt; **Accommodation:**


  - A Scholar who is not a bona-fide resident of the place of the Participating Institution to which he has proposed to be affiliated and who intends to take up rented accommodation in the city of the desired Institution will be required to indicate this fact at the time of applying for Scholarship.
  - The selected Scholar will be entitled to receive a House Rent Allowance of up to 30% of the honorarium. However, with respect to Scholars from University, College, Research Institute or Government set up, HRA will be paid by the Parent Organization as per entitlement.
  - MoC Institutions will bear the expenditure in this regard from the grant-in-aid received by them from their administrative Division of the Ministry.
  - In respect of Non-MoC Institutions, the Ministry of Culture will reimburse the House Rent Allowance directly to Scholars on submission of rent receipts (in original) to the Participating Institutions who will verify and forward the same to the Ministry for reimbursement. 

&gt; **Settling Allowance:**


  - A Scholar from outstation will be given, if required, a lump sum grant of ₹1.00 lakh as settling allowance for packing/transportation, etc., of his personal belongings from the old station to the new station of his stay during the tenure of the Scholarship, if he moves station or otherwise transports books and academic effects.
  - Allowance of an equal amount will also be given at the conclusion of the Scholarship for moving out of station. On a case-to-case basis, economy airfare from his/her place/country of residence will be provided/reimbursed upon joining and on the conclusion of the Scholarship.
  - In this regard, Non-MoC Institutions will bear the expenditure and thereafter seek reimbursement from the Ministry after submission of certified copies of Bills along with justification.
  - Intimation in advance is also required to be given to the Ministry by the Non-MoC Institutions. MoC Institutions will bear the expenditure in this regard from the grant-in-aid received by them from their administrative Division of the Ministry. 

&gt; **Support to Scholars:**

- Infrastructural support will be provided by the Nodal Institution to the Scholars to enable them to conduct their research. This may include the provision of a computer with peripherals and connectivity, working space in the institution’s premises, providing a congenial atmosphere to carry out research, etc. Other facilities, like appropriate seating arrangements, library facilities, etc., will also be made available.
- One important advantage of this scheme will be the access of the Scholars to national institutions for study and avail original and rare research material. In respect of foreign Scholars engaged under this scheme, necessary political/security clearances from the concerned Ministries/Departments shall be obtained by the Ministry of Culture.
- Encouragement and financial support may also be given to enable the Scholars to present papers at conferences hosted by the concerned institution or other related organizations and institutions, which will be met out/reimbursed, on an ‘actuals’ basis, with a ceiling of ₹1.00 lakh per annum, provided adequate academic interaction is arranged.

","&gt; **Application Process:**

**Step 01:** The Ministry of Culture and/or the concerned institution will widely advertise the Scholarship in the leading national/regional newspapers and on its [website](https://www.indiaculture.gov.in/tagore-national-fellowship-cultural-research) (which should give all details) and also disseminate the scheme through professional associations/forums in the relevant fields, so that maximum publicity is accorded to the Scheme.
**Step 02:** Eligible Scholars who can spare time of about two years to do a project based on the resources of any of the participating institutions can only apply during the prescribed timeline mentioned in the advertisement.
**Step 03:** The candidates may submit their [application form](https://www.indiaculture.gov.in/sites/default/files/Schemes/Application_form_for_TNFCR_10032023.pdf), prepared according to the prescribed guidelines of the Scheme, to any one of the Nodal Institutions of his/her choice depending upon the area of research proposed to be undertaken.
**Step 04:** Candidates may submit their application form along with a biocatalyst of publications and other relevant documents including a write-up on the proposed work (guidelines are in [Appendix A](https://www.indiaculture.gov.in/sites/default/files/Schemes/TNFCR%20Guidelines_14-07-2023_17072023.pdf)), the applicant should enclose a declaration stating that if selected for the Scholarship, he/she will complete the tenure of the Scholarship.
**Note:** The list of nodal institutions along with the other relevant details of the Scheme and application form is available on the [website](https://www.indiaculture.gov.in/) of the Ministry of Culture and Prime Ministers Museum and Library (PMML) (erstwhile Nehru Memorial Museum and Library (NMML) under the Scheme Head of the website.
&gt; **Process of Selection:**

**Step 01**: The received applications will be examined by the Institution Level Search-cum-Screening Committee (ILSSC) constituted by each participating institution for the purposes of this scheme.
**Step 02:** The applications found worthy of consideration will be shortlisted by the ILSSC.
**Step 03:** The selection will be based on the relevance of the study, the benefits of the nodal institution from that particular study, and the credentials and reputation of the scholar. Only such proposals may be selected
that seek to (a) engage Scholars who have achieved national or international recognition and proven acceptance of their work in national/ international circles; (b) bring out resources that are not yet fully out in the public domain; and (c) publish the work for the benefit of the concerned institution. The selection will be done in two stages.
**Step 04:** The first stage will be of shortlisting of projects and candidates by the ILSSC, according to the criteria broadly specified as part of the Search-cum-Screening process. Apart from considering the applications received, the ILSSC is also expected to adopt a proactive approach to identify relevant projects and search for reputed Scholars in that field, contact such Scholars, and encourage them to submit their proposals. If the received proposals are not worthy of consideration, the ILSSC need not feel compelled to recommend any proposals for consideration by the NSC.
**Step 05:** At the second stage, applications/names of short-listed candidates will be considered by the NSC for each institution.
&gt; **Contact Details:**

(i)	Director, Nehru Memorial Museum &amp;amp; Library, Teen Murti Bhawan, New Delhi-1100011.
@ Ph. No.011-23013152 or through E-mail: aroresearch.nmml@gov.in
(ii) Section Officer (S &amp;amp; F, Ministry of Culture), Puratatava Bhawan, 2nd Floor, D-Block, GPO Complex, INA, New Delhi-110023, Ph. No. 011-24642133 Between 3:00 PM to 4:00 PM or through e-mail @scholar-culture@nic.in
**Note:** Correspondences (In relation to queries/submission of six monthly progress reports only) through e-mail to the Ministry of Culture and Nehru Memorial Museum and Library would be considered as an approved mode of communication regarding the scheme.
","Cultural Research, Culture, Scholar, Scholarship, Tagore"
Chief Minister Career Advancement in Biotechnology,Science and Technology Department,Individual,"
   1. The fellowship is offered to a scientist/faculty who is a permanent employee of an academic/research institute in Kerala State.
   1. The candidates must be officially sponsored by their employer/head of the institution with the commitment to depute them for research/training under CM-CAB.
   1. The applicant should possess a Ph.D. degree in biotechnology-related subjects.
   1. The applicant should have a proven record of independent research work evidenced by publications in peer-reviewed, indexed journals and patents.
   1. Age Limit – 37 years, with 5 years relaxation in the case of SC/ST and/or Women Candidates.

**Note:** The pay and allowances during the fellowship period will have to be paid by the institution to the candidate.
","The programme “Chief Minister’s Career Advancement in Biotechnology (CM-CAB)” aims at providing opportunities to Young Faculty and Scientists in Biotechnology to have national and/or international collaborative research training and exposure to advanced techniques and technologies in biotechnology.

   1. Fellowship of USD 1500 per month (in equivalent Indian Currency) in cases where the host institution is outside India.
   1. The fellowship will be ₹50,000/- per month if the host institution is within India.
   1. A contingency grant to meet the expenses for local travel, VISA fees, insurance, etc. will also be paid as per actuals subjected to a ceiling of ₹50,000/-.

","**Step 01:** The applications in the prescribed format are to be submitted as and when the programme is advertised on the [KSCSTE website](https://kscste.kerala.gov.in/chief-ministers-career-advancement-in-biotechnology-cm-cab/).
**Step 02:** The applications will be screened for eligibility, peer-reviewed, and further shortlisted. The short-listed candidates will have to appear for a discussion with the Committee of experts nominated by the Commission and the final shortlisting shall be based on the following criteria:
1. Scientific merit of the proposal
2. Experience of the applicant
3. Publications
4. Infrastructure of the Host Institute
**Step 03:** Selected candidates have to execute an agreement accepting the terms and conditions of the programme and must join the Host Institution within three months’ time.
**Contact Details:**
The Scientist-in-charge,
Kerala Bio-Technology Commission, Kerala State Council for Science, Technology and Environment (KSCSTE), Sasthra Bhavan, Pattom, Thiruvananthapuram – 695 004
Phone: (0471) 2548406, 2548254
E-mail: kbc.kscste@kerala.gov.in
","Biotechnology, CM-CAB, Fellowship, International Collaboration, National Collaboration, Research, Scientist, Young Faculty"
Internship Programme Of The Department Of Expenditure,"{'value': 499, 'label': 'Ministry Of Finance'}",Individual,"Indian national pursuing postgraduation Research Courses in Economics/Finance/Management and in the 4th and 5th year of 5-year integrated Course in Law/any other professional course from Universities/Institutions of National and International repute are eligible to apply for the internship provided - 

- Students pursuing post-graduate courses should have obtained a first-class Graduate degree.
- Research Scholars Pursuing courses in Economics/Finance/Management, should have obtained at least 50% marks in Post-Graduation.
- Students in the af a 5h year of the 5 year integrated Law course should have obtained at least 80% marks in their 12th Class examination.

","The Internship Programme of the Department of Expenditure aims to familiarize willing and eligible undergraduates pursuing five-year integrated courses and Graduates pursuing post-Graduation/ post-Graduates pursuing Research with the overall process of formulation of economic policies of the Govt.
> **Remuneration**

Token Remuneration @ **₹ 10,000/- per month** per intern, payable on satisfactory completion of their internships and on submission of their Report / Paper.
<br>

> **Certificate of Internship** 

Certificates will be issued to the interns on satisfactory completion of their internship and on submission of their Report/Paper and its evaluation by the DS/Director level officer in the concerned Division.
","Interested and eligible students are to send their applications, along with their CVs in the [enclosed proforma](https://doe.gov.in/sites/default/files/InternshipProg_DoE2017.pdf) to - 
Section Officer (Admn-l), Department of Expenditure, Room No.264-B, North Block, New Delhi.
","Economics, Expenditure, Finance, Internship"
Promotion of Energy Audit and Conservation of Energy (PEACE): Awareness Programme,Micro Small and Medium Enterprises Department,Business Entity,"
- The target audience includes executives, employees, and workers of MSMEs, as well as cluster members.
- The ideal size for the awareness program is 40-50 participants, although in industrially backward districts, the batch size may be smaller. 

","The ""Awareness Programme"" component of the PEACE scheme is introduced to make the MSMEs understand that the energy audit and conserving energy is a critical issue that is of great importance to the financial performance and competitiveness of their enterprise.
> **Objective**

The program will make the MSMEs understand that the energy audit and conserving energy is a critical issue that is of great importance to the financial performance and competitiveness of their enterprise.
<br>

> **Schedule**

The program, designed for one day, will be based on the needs and requirements of MSMEs. The training content will be standardized by the Industries Commissioner and Director of Industries and Commerce in consultation with relevant agencies.
<br>

> **Resource Persons** 


- The Resource Persons are preferably drawn from organizations such as the Petroleum Conservation Research Association (PCRA), India SME Tech Services Ltd (SIDBI), National Productivity Council (NPC), BEE, TERI, etc., which are promoted by Government Departments.
- Bureau of Energy Efficiency (BEE) accredited Energy Auditors/Managers with rich experience in energy audits, energy management &amp; conservation, and BEE empaneled Energy audit firms/companies, may also be engaged.

<br>

> **Fund Allocation**

At least one awareness programme in each district at a cost not exceeding ₹ 1,00,000 per programme.
","> **Step 1: Registration**


- Visit the [Official Website/Portal](https://www.msmeonline.tn.gov.in) of the Micro, Small, and Medium Enterprises Department of the Government of Tamil Nadu. In the top ribbon, click &quot;[Login / Registration](https://www.msmeonline.tn.gov.in/registration.php)&quot;.- In the registration form, fill in the mandatory details accurately, Name, Date of Birth, Aadhaar Number, Email ID, and Mobile Number. Create a new password. The password must contain a minimum of 8 characters, 1 Upper Case Letter, 1 Lower Case Letter, and 1 Numeric Field.
- Fill in the captcha code, and click &quot;Register&quot;.

<br>

> **Step 2: Login**

Visit the [Login Page](https://www.msmeonline.tn.gov.in/registration.php) and click &quot;Login&quot;, and then fill in the credentials received on your registered Email ID and the registered Mobile Number.
<br>

> **Step 3: Form Filling**


- After successfully logging in, hover over &quot;Schemes&quot; in the top ribbon, and then click on the concerned scheme from the dropdown.
- On the next page, hover over &quot;Apply Online&quot; in the top ribbon, and then click on &quot;New Application&quot; from the dropdown.
- Fill in all the mandatory fields of the [Application Form](https://www.msmeonline.tn.gov.in/incentives/dea_sub.php?id=New%20Application). Carefully review all the information provided, acknowledge and agree to the terms and conditions, declaration, and privacy policy, and then click &quot;Proceed&quot;.- Note down the reference number appearing on the screen and then click &quot;Close&quot;.

<br>

> **Step 4: Upload Documents**


- Now, hover over &quot;Schemes&quot; in the top ribbon, and then click &quot;Upload Documents&quot; from the dropdown.
- On the next page, provide the Application ID and click &quot;Submit&quot;.
- On the next page, upload all the mandatory documents in the specified format and size.
- After uploading the documents, click &quot;View&quot; to verify the documents uploaded for correctness.

<br>

> **Step 5: Submission**


- Fill in all the checkboxes appearing at the bottom of the screen and then click &quot;Submit Application&quot;.
- The message regarding the submission of the online application to GM/DIC / RJD will be received on your mobile phone.

<br>

**(Optional) Step 6: Track Application Status**
You can check the status of your application [here](https://www.msmeonline.tn.gov.in/incentives/app_track.php?id=Track%20Your%20Status). The portal may provide updates via email or SMS regarding your application status.
","Audit, Awareness, Business, Energy, MSME, Programme"
